titulo,autor,ano,preco
Dom Casmurro,Machado de Assis,1899,25.9
Grande Sertão: Veredas,João Guimarães Rosa,1956,42.0
O Guarani,José de Alencar,1857,19.9
Memórias Póstumas de Brás Cubas,Machado de Assis,1881,29.9
Capitães da Areia,Jorge Amado,1937,34.9
A Hora da Estrela,Clarice Lispector,1977,22.5
O Cortiço,Aluísio Azevedo,1890,27.9
Vidas Secas,Graciliano Ramos,1938,28.5
Iracema,José de Alencar,1865,18.0
O Auto da Compadecida,Ariano Suassuna,1955,23.0
Senhora,José de Alencar,1875,21.5
Macunaíma,Mário de Andrade,1928,30.0
A Moreninha,Joaquim Manuel de Macedo,1844,20.0
Quarup,Antonio Callado,1967,35.0
Lucíola,José de Alencar,1862,24.5
